"District","FIPS","Year","Variable","Measure Type","Value"
"Andover School District","","2016-2017","Other Rate","Percent","-6666"
"Andover School District","","2017-2018","Total Cohort Count","Number","-6666"
"Andover School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Andover School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2017-2018","Other Count","Number","-6666"
"Andover School District","","2017-2018","Other Rate","Percent","-6666"
"Andover School District","","2018-2019","Total Cohort Count","Number","-6666"
"Andover School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Andover School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Andover School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Andover School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Andover School District","","2018-2019","Other Count","Number","-6666"
"Andover School District","","2018-2019","Other Rate","Percent","-6666"
"Ansonia School District","900901220","2010-2011","Total Cohort Count","Number","188"
"Ansonia School District","900901220","2010-2011","Four Year Graduation Count","Number","130"
"Ansonia School District","900901220","2010-2011","Four Year Graduation Rate","Percent","69.1"
"Ansonia School District","900901220","2010-2011","Still Enrolled After Four Years Count","Number","23"
"Ansonia School District","900901220","2010-2011","Still Enrolled After Four Years Rate","Percent","12.2"
"Ansonia School District","900901220","2010-2011","Other Count","Number","35"
"Ansonia School District","900901220","2010-2011","Other Rate","Percent","18.6"
"Ansonia School District","900901220","2011-2012","Total Cohort Count","Number","205"
"Ansonia School District","900901220","2011-2012","Four Year Graduation Count","Number","156"
"Ansonia School District","900901220","2011-2012","Four Year Graduation Rate","Percent","76.1"
"Ansonia School District","900901220","2011-2012","Still Enrolled After Four Years Count","Number","12"
"Ansonia School District","900901220","2011-2012","Still Enrolled After Four Years Rate","Percent","5.9"
"Ansonia School District","900901220","2011-2012","Other Count","Number","37"
"Ansonia School District","900901220","2011-2012","Other Rate","Percent","18.0"
"Ansonia School District","900901220","2012-2013","Total Cohort Count","Number","212"
"Ansonia School District","900901220","2012-2013","Four Year Graduation Count","Number","160"
"Ansonia School District","900901220","2012-2013","Four Year Graduation Rate","Percent","75.5"
"Ansonia School District","900901220","2012-2013","Still Enrolled After Four Years Count","Number","25"
"Ansonia School District","900901220","2012-2013","Still Enrolled After Four Years Rate","Percent","11.8"
