"District","FIPS","Year","Variable","Measure Type","Value"
"Lebanon School District","901142390","2018-2019","Four Year Graduation Count","Number","82"
"Lebanon School District","901142390","2018-2019","Four Year Graduation Rate","Percent","87.2"
"Lebanon School District","901142390","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Lebanon School District","901142390","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Lebanon School District","901142390","2018-2019","Other Count","Number","8"
"Lebanon School District","901142390","2018-2019","Other Rate","Percent","8.5"
"Ledyard School District","901142600","2010-2011","Total Cohort Count","Number","235"
"Ledyard School District","901142600","2010-2011","Four Year Graduation Count","Number","211"
"Ledyard School District","901142600","2010-2011","Four Year Graduation Rate","Percent","89.8"
"Ledyard School District","901142600","2010-2011","Still Enrolled After Four Years Count","Number","10"
"Ledyard School District","901142600","2010-2011","Still Enrolled After Four Years Rate","Percent","4.3"
"Ledyard School District","901142600","2010-2011","Other Count","Number","14"
"Ledyard School District","901142600","2010-2011","Other Rate","Percent","6.0"
"Ledyard School District","901142600","2011-2012","Total Cohort Count","Number","212"
"Ledyard School District","901142600","2011-2012","Four Year Graduation Count","Number","194"
"Ledyard School District","901142600","2011-2012","Four Year Graduation Rate","Percent","91.5"
"Ledyard School District","901142600","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Ledyard School District","901142600","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Ledyard School District","901142600","2011-2012","Other Count","Number","-9999"
"Ledyard School District","901142600","2011-2012","Other Rate","Percent","-9999"
"Ledyard School District","901142600","2012-2013","Total Cohort Count","Number","232"
"Ledyard School District","901142600","2012-2013","Four Year Graduation Count","Number","208"
"Ledyard School District","901142600","2012-2013","Four Year Graduation Rate","Percent","89.7"
"Ledyard School District","901142600","2012-2013","Still Enrolled After Four Years Count","Number","13"
"Ledyard School District","901142600","2012-2013","Still Enrolled After Four Years Rate","Percent","5.6"
"Ledyard School District","901142600","2012-2013","Other Count","Number","11"
"Ledyard School District","901142600","2012-2013","Other Rate","Percent","4.7"
"Ledyard School District","901142600","2013-2014","Total Cohort Count","Number","247"
"Ledyard School District","901142600","2013-2014","Four Year Graduation Count","Number","224"
"Ledyard School District","901142600","2013-2014","Four Year Graduation Rate","Percent","90.7"
"Ledyard School District","901142600","2013-2014","Still Enrolled After Four Years Count","Number","14"
"Ledyard School District","901142600","2013-2014","Still Enrolled After Four Years Rate","Percent","5.7"
"Ledyard School District","901142600","2013-2014","Other Count","Number","9"
"Ledyard School District","901142600","2013-2014","Other Rate","Percent","3.6"
"Ledyard School District","901142600","2014-2015","Total Cohort Count","Number","233"
"Ledyard School District","901142600","2014-2015","Four Year Graduation Count","Number","216"
"Ledyard School District","901142600","2014-2015","Four Year Graduation Rate","Percent","92.7"
"Ledyard School District","901142600","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Ledyard School District","901142600","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Ledyard School District","901142600","2014-2015","Other Count","Number","-9999"
"Ledyard School District","901142600","2014-2015","Other Rate","Percent","-9999"
"Ledyard School District","901142600","2015-2016","Total Cohort Count","Number","232"
"Ledyard School District","901142600","2015-2016","Four Year Graduation Count","Number","210"
"Ledyard School District","901142600","2015-2016","Four Year Graduation Rate","Percent","90.5"
"Ledyard School District","901142600","2015-2016","Still Enrolled After Four Years Count","Number","9"
"Ledyard School District","901142600","2015-2016","Still Enrolled After Four Years Rate","Percent","3.9"
"Ledyard School District","901142600","2015-2016","Other Count","Number","10"
"Ledyard School District","901142600","2015-2016","Other Rate","Percent","4.3"
"Ledyard School District","901142600","2016-2017","Total Cohort Count","Number","206"
"Ledyard School District","901142600","2016-2017","Four Year Graduation Count","Number","193"
"Ledyard School District","901142600","2016-2017","Four Year Graduation Rate","Percent","93.7"
"Ledyard School District","901142600","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Ledyard School District","901142600","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Ledyard School District","901142600","2016-2017","Other Count","Number","-9999"
"Ledyard School District","901142600","2016-2017","Other Rate","Percent","-9999"
"Ledyard School District","901142600","2017-2018","Total Cohort Count","Number","195"
"Ledyard School District","901142600","2017-2018","Four Year Graduation Count","Number","182"
"Ledyard School District","901142600","2017-2018","Four Year Graduation Rate","Percent","93.3"
"Ledyard School District","901142600","2017-2018","Still Enrolled After Four Years Count","Number","6"
"Ledyard School District","901142600","2017-2018","Still Enrolled After Four Years Rate","Percent","3.1"
"Ledyard School District","901142600","2017-2018","Other Count","Number","7"
"Ledyard School District","901142600","2017-2018","Other Rate","Percent","3.6"
"Ledyard School District","901142600","2018-2019","Total Cohort Count","Number","198"
"Ledyard School District","901142600","2018-2019","Four Year Graduation Count","Number","183"
"Ledyard School District","901142600","2018-2019","Four Year Graduation Rate","Percent","92.4"
"Ledyard School District","901142600","2018-2019","Still Enrolled After Four Years Count","Number","7"
"Ledyard School District","901142600","2018-2019","Still Enrolled After Four Years Rate","Percent","3.5"
"Ledyard School District","901142600","2018-2019","Other Count","Number","8"
"Ledyard School District","901142600","2018-2019","Other Rate","Percent","4.0"
"Lisbon School District","","2010-2011","Total Cohort Count","Number","-9999"
"Lisbon School District","","2010-2011","Four Year Graduation Count","Number","-9999"
"Lisbon School District","","2010-2011","Four Year Graduation Rate","Percent","-9999"
"Lisbon School District","","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Lisbon School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Lisbon School District","","2010-2011","Other Count","Number","-9999"
"Lisbon School District","","2010-2011","Other Rate","Percent","-9999"
"Lisbon School District","","2011-2012","Total Cohort Count","Number","-9999"
"Lisbon School District","","2011-2012","Four Year Graduation Count","Number","-9999"
"Lisbon School District","","2011-2012","Four Year Graduation Rate","Percent","-9999"
"Lisbon School District","","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Lisbon School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Lisbon School District","","2011-2012","Other Count","Number","-9999"
"Lisbon School District","","2011-2012","Other Rate","Percent","-9999"
"Lisbon School District","","2012-2013","Total Cohort Count","Number","6"
"Lisbon School District","","2012-2013","Four Year Graduation Count","Number","-9999"
"Lisbon School District","","2012-2013","Four Year Graduation Rate","Percent","-9999"
"Lisbon School District","","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Lisbon School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Lisbon School District","","2012-2013","Other Count","Number","-9999"
"Lisbon School District","","2012-2013","Other Rate","Percent","-9999"
"Lisbon School District","","2013-2014","Total Cohort Count","Number","-9999"
"Lisbon School District","","2013-2014","Four Year Graduation Count","Number","-9999"
"Lisbon School District","","2013-2014","Four Year Graduation Rate","Percent","-9999"
"Lisbon School District","","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Lisbon School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Lisbon School District","","2013-2014","Other Count","Number","-9999"
"Lisbon School District","","2013-2014","Other Rate","Percent","-9999"
"Lisbon School District","","2014-2015","Total Cohort Count","Number","-6666"
"Lisbon School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Lisbon School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Lisbon School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Lisbon School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Lisbon School District","","2014-2015","Other Count","Number","-6666"
"Lisbon School District","","2014-2015","Other Rate","Percent","-6666"
"Lisbon School District","","2015-2016","Total Cohort Count","Number","-6666"
"Lisbon School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Lisbon School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Lisbon School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Lisbon School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Lisbon School District","","2015-2016","Other Count","Number","-6666"
"Lisbon School District","","2015-2016","Other Rate","Percent","-6666"
"Lisbon School District","","2016-2017","Total Cohort Count","Number","-6666"
"Lisbon School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Lisbon School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Lisbon School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Lisbon School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Lisbon School District","","2016-2017","Other Count","Number","-6666"
"Lisbon School District","","2016-2017","Other Rate","Percent","-6666"
"Lisbon School District","","2017-2018","Total Cohort Count","Number","-6666"
"Lisbon School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Lisbon School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Lisbon School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Lisbon School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Lisbon School District","","2017-2018","Other Count","Number","-6666"
"Lisbon School District","","2017-2018","Other Rate","Percent","-6666"
"Lisbon School District","","2018-2019","Total Cohort Count","Number","-6666"
"Lisbon School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Lisbon School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Lisbon School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Lisbon School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Lisbon School District","","2018-2019","Other Count","Number","-6666"
"Lisbon School District","","2018-2019","Other Rate","Percent","-6666"
"Litchfield School District","900543370","2010-2011","Total Cohort Count","Number","95"
"Litchfield School District","900543370","2010-2011","Four Year Graduation Count","Number","89"
"Litchfield School District","900543370","2010-2011","Four Year Graduation Rate","Percent","93.7"
"Litchfield School District","900543370","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2010-2011","Other Count","Number","-9999"
"Litchfield School District","900543370","2010-2011","Other Rate","Percent","-9999"
"Litchfield School District","900543370","2011-2012","Total Cohort Count","Number","103"
"Litchfield School District","900543370","2011-2012","Four Year Graduation Count","Number","100"
"Litchfield School District","900543370","2011-2012","Four Year Graduation Rate","Percent","97.1"
"Litchfield School District","900543370","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2011-2012","Other Count","Number","-9999"
"Litchfield School District","900543370","2011-2012","Other Rate","Percent","-9999"
"Litchfield School District","900543370","2012-2013","Total Cohort Count","Number","88"
"Litchfield School District","900543370","2012-2013","Four Year Graduation Count","Number","87"
"Litchfield School District","900543370","2012-2013","Four Year Graduation Rate","Percent","98.9"
"Litchfield School District","900543370","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2012-2013","Other Count","Number","-9999"
"Litchfield School District","900543370","2012-2013","Other Rate","Percent","-9999"
"Litchfield School District","900543370","2013-2014","Total Cohort Count","Number","69"
"Litchfield School District","900543370","2013-2014","Four Year Graduation Count","Number","64"
"Litchfield School District","900543370","2013-2014","Four Year Graduation Rate","Percent","92.8"
"Litchfield School District","900543370","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2013-2014","Other Count","Number","-9999"
"Litchfield School District","900543370","2013-2014","Other Rate","Percent","-9999"
"Litchfield School District","900543370","2014-2015","Total Cohort Count","Number","70"
"Litchfield School District","900543370","2014-2015","Four Year Graduation Count","Number","70"
"Litchfield School District","900543370","2014-2015","Four Year Graduation Rate","Percent","100.0"
"Litchfield School District","900543370","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2014-2015","Other Count","Number","-9999"
"Litchfield School District","900543370","2014-2015","Other Rate","Percent","-9999"
"Litchfield School District","900543370","2015-2016","Total Cohort Count","Number","85"
"Litchfield School District","900543370","2015-2016","Four Year Graduation Count","Number","-9999"
"Litchfield School District","900543370","2015-2016","Four Year Graduation Rate","Percent","-9999"
"Litchfield School District","900543370","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2015-2016","Other Count","Number","0"
"Litchfield School District","900543370","2015-2016","Other Rate","Percent","0.0"
"Litchfield School District","900543370","2016-2017","Total Cohort Count","Number","77"
"Litchfield School District","900543370","2016-2017","Four Year Graduation Count","Number","71"
"Litchfield School District","900543370","2016-2017","Four Year Graduation Rate","Percent","92.2"
"Litchfield School District","900543370","2016-2017","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2016-2017","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2016-2017","Other Count","Number","-9999"
"Litchfield School District","900543370","2016-2017","Other Rate","Percent","-9999"
"Litchfield School District","900543370","2017-2018","Total Cohort Count","Number","64"
"Litchfield School District","900543370","2017-2018","Four Year Graduation Count","Number","63"
"Litchfield School District","900543370","2017-2018","Four Year Graduation Rate","Percent","98.4"
"Litchfield School District","900543370","2017-2018","Still Enrolled After Four Years Count","Number","0"
"Litchfield School District","900543370","2017-2018","Still Enrolled After Four Years Rate","Percent","0.0"
"Litchfield School District","900543370","2017-2018","Other Count","Number","-9999"
"Litchfield School District","900543370","2017-2018","Other Rate","Percent","-9999"
"Litchfield School District","900543370","2018-2019","Total Cohort Count","Number","73"
"Litchfield School District","900543370","2018-2019","Four Year Graduation Count","Number","72"
"Litchfield School District","900543370","2018-2019","Four Year Graduation Rate","Percent","98.6"
"Litchfield School District","900543370","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Litchfield School District","900543370","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Litchfield School District","900543370","2018-2019","Other Count","Number","0"
"Litchfield School District","900543370","2018-2019","Other Rate","Percent","0.0"
"Madison School District","900944560","2010-2011","Total Cohort Count","Number","317"
"Madison School District","900944560","2010-2011","Four Year Graduation Count","Number","306"
"Madison School District","900944560","2010-2011","Four Year Graduation Rate","Percent","96.5"
"Madison School District","900944560","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Madison School District","900944560","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Madison School District","900944560","2010-2011","Other Count","Number","-9999"
"Madison School District","900944560","2010-2011","Other Rate","Percent","-9999"
"Madison School District","900944560","2011-2012","Total Cohort Count","Number","335"
"Madison School District","900944560","2011-2012","Four Year Graduation Count","Number","324"
"Madison School District","900944560","2011-2012","Four Year Graduation Rate","Percent","96.7"
"Madison School District","900944560","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Madison School District","900944560","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Madison School District","900944560","2011-2012","Other Count","Number","-9999"
"Madison School District","900944560","2011-2012","Other Rate","Percent","-9999"
"Madison School District","900944560","2012-2013","Total Cohort Count","Number","317"
"Madison School District","900944560","2012-2013","Four Year Graduation Count","Number","313"
"Madison School District","900944560","2012-2013","Four Year Graduation Rate","Percent","98.7"
"Madison School District","900944560","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Madison School District","900944560","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Madison School District","900944560","2012-2013","Other Count","Number","-9999"
"Madison School District","900944560","2012-2013","Other Rate","Percent","-9999"
"Madison School District","900944560","2013-2014","Total Cohort Count","Number","320"
"Madison School District","900944560","2013-2014","Four Year Graduation Count","Number","310"
"Madison School District","900944560","2013-2014","Four Year Graduation Rate","Percent","96.9"
"Madison School District","900944560","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Madison School District","900944560","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Madison School District","900944560","2013-2014","Other Count","Number","-9999"
"Madison School District","900944560","2013-2014","Other Rate","Percent","-9999"
"Madison School District","900944560","2014-2015","Total Cohort Count","Number","309"
"Madison School District","900944560","2014-2015","Four Year Graduation Count","Number","305"
"Madison School District","900944560","2014-2015","Four Year Graduation Rate","Percent","98.7"
"Madison School District","900944560","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Madison School District","900944560","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Madison School District","900944560","2014-2015","Other Count","Number","-9999"
"Madison School District","900944560","2014-2015","Other Rate","Percent","-9999"
"Madison School District","900944560","2015-2016","Total Cohort Count","Number","302"
"Madison School District","900944560","2015-2016","Four Year Graduation Count","Number","295"
"Madison School District","900944560","2015-2016","Four Year Graduation Rate","Percent","97.7"
"Madison School District","900944560","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Madison School District","900944560","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Madison School District","900944560","2015-2016","Other Count","Number","-9999"
"Madison School District","900944560","2015-2016","Other Rate","Percent","-9999"
"Madison School District","900944560","2016-2017","Total Cohort Count","Number","304"
"Madison School District","900944560","2016-2017","Four Year Graduation Count","Number","297"
"Madison School District","900944560","2016-2017","Four Year Graduation Rate","Percent","97.7"
"Madison School District","900944560","2016-2017","Still Enrolled After Four Years Count","Number","7"
"Madison School District","900944560","2016-2017","Still Enrolled After Four Years Rate","Percent","2.3"
"Madison School District","900944560","2016-2017","Other Count","Number","0"
"Madison School District","900944560","2016-2017","Other Rate","Percent","0.0"
"Madison School District","900944560","2017-2018","Total Cohort Count","Number","292"
"Madison School District","900944560","2017-2018","Four Year Graduation Count","Number","284"
"Madison School District","900944560","2017-2018","Four Year Graduation Rate","Percent","97.3"
"Madison School District","900944560","2017-2018","Still Enrolled After Four Years Count","Number","6"
"Madison School District","900944560","2017-2018","Still Enrolled After Four Years Rate","Percent","2.1"
"Madison School District","900944560","2017-2018","Other Count","Number","-9999"
"Madison School District","900944560","2017-2018","Other Rate","Percent","-9999"
"Madison School District","900944560","2018-2019","Total Cohort Count","Number","268"
"Madison School District","900944560","2018-2019","Four Year Graduation Count","Number","263"
"Madison School District","900944560","2018-2019","Four Year Graduation Rate","Percent","98.1"
"Madison School District","900944560","2018-2019","Still Enrolled After Four Years Count","Number","-9999"
"Madison School District","900944560","2018-2019","Still Enrolled After Four Years Rate","Percent","-9999"
"Madison School District","900944560","2018-2019","Other Count","Number","-9999"
"Madison School District","900944560","2018-2019","Other Rate","Percent","-9999"
"Manchester School District","900344700","2010-2011","Total Cohort Count","Number","534"
"Manchester School District","900344700","2010-2011","Four Year Graduation Count","Number","380"
"Manchester School District","900344700","2010-2011","Four Year Graduation Rate","Percent","71.2"
"Manchester School District","900344700","2010-2011","Still Enrolled After Four Years Count","Number","60"
"Manchester School District","900344700","2010-2011","Still Enrolled After Four Years Rate","Percent","11.2"
"Manchester School District","900344700","2010-2011","Other Count","Number","94"
"Manchester School District","900344700","2010-2011","Other Rate","Percent","17.6"
"Manchester School District","900344700","2011-2012","Total Cohort Count","Number","518"
"Manchester School District","900344700","2011-2012","Four Year Graduation Count","Number","379"
"Manchester School District","900344700","2011-2012","Four Year Graduation Rate","Percent","73.2"
"Manchester School District","900344700","2011-2012","Still Enrolled After Four Years Count","Number","50"
"Manchester School District","900344700","2011-2012","Still Enrolled After Four Years Rate","Percent","9.7"
"Manchester School District","900344700","2011-2012","Other Count","Number","89"
"Manchester School District","900344700","2011-2012","Other Rate","Percent","17.2"
"Manchester School District","900344700","2012-2013","Total Cohort Count","Number","479"
"Manchester School District","900344700","2012-2013","Four Year Graduation Count","Number","358"
"Manchester School District","900344700","2012-2013","Four Year Graduation Rate","Percent","74.7"
"Manchester School District","900344700","2012-2013","Still Enrolled After Four Years Count","Number","50"
"Manchester School District","900344700","2012-2013","Still Enrolled After Four Years Rate","Percent","10.4"
"Manchester School District","900344700","2012-2013","Other Count","Number","71"
"Manchester School District","900344700","2012-2013","Other Rate","Percent","14.8"
"Manchester School District","900344700","2013-2014","Total Cohort Count","Number","454"
"Manchester School District","900344700","2013-2014","Four Year Graduation Count","Number","373"
"Manchester School District","900344700","2013-2014","Four Year Graduation Rate","Percent","82.2"
"Manchester School District","900344700","2013-2014","Still Enrolled After Four Years Count","Number","38"
"Manchester School District","900344700","2013-2014","Still Enrolled After Four Years Rate","Percent","8.4"
"Manchester School District","900344700","2013-2014","Other Count","Number","43"
"Manchester School District","900344700","2013-2014","Other Rate","Percent","9.5"
"Manchester School District","900344700","2014-2015","Total Cohort Count","Number","454"
"Manchester School District","900344700","2014-2015","Four Year Graduation Count","Number","367"
"Manchester School District","900344700","2014-2015","Four Year Graduation Rate","Percent","80.8"
"Manchester School District","900344700","2014-2015","Still Enrolled After Four Years Count","Number","29"
"Manchester School District","900344700","2014-2015","Still Enrolled After Four Years Rate","Percent","6.4"
"Manchester School District","900344700","2014-2015","Other Count","Number","58"
"Manchester School District","900344700","2014-2015","Other Rate","Percent","12.8"
"Manchester School District","900344700","2015-2016","Total Cohort Count","Number","407"
"Manchester School District","900344700","2015-2016","Four Year Graduation Count","Number","338"
"Manchester School District","900344700","2015-2016","Four Year Graduation Rate","Percent","83.0"
"Manchester School District","900344700","2015-2016","Still Enrolled After Four Years Count","Number","38"
"Manchester School District","900344700","2015-2016","Still Enrolled After Four Years Rate","Percent","9.3"
"Manchester School District","900344700","2015-2016","Other Count","Number","31"
"Manchester School District","900344700","2015-2016","Other Rate","Percent","7.6"
"Manchester School District","900344700","2016-2017","Total Cohort Count","Number","429"
"Manchester School District","900344700","2016-2017","Four Year Graduation Count","Number","370"
"Manchester School District","900344700","2016-2017","Four Year Graduation Rate","Percent","86.2"
"Manchester School District","900344700","2016-2017","Still Enrolled After Four Years Count","Number","40"
"Manchester School District","900344700","2016-2017","Still Enrolled After Four Years Rate","Percent","9.3"
"Manchester School District","900344700","2016-2017","Other Count","Number","19"
"Manchester School District","900344700","2016-2017","Other Rate","Percent","4.4"
"Manchester School District","900344700","2017-2018","Total Cohort Count","Number","410"
"Manchester School District","900344700","2017-2018","Four Year Graduation Count","Number","337"
"Manchester School District","900344700","2017-2018","Four Year Graduation Rate","Percent","82.2"
"Manchester School District","900344700","2017-2018","Still Enrolled After Four Years Count","Number","46"
"Manchester School District","900344700","2017-2018","Still Enrolled After Four Years Rate","Percent","11.2"
"Manchester School District","900344700","2017-2018","Other Count","Number","27"
"Manchester School District","900344700","2017-2018","Other Rate","Percent","6.6"
"Manchester School District","900344700","2018-2019","Total Cohort Count","Number","482"
"Manchester School District","900344700","2018-2019","Four Year Graduation Count","Number","396"
"Manchester School District","900344700","2018-2019","Four Year Graduation Rate","Percent","82.2"
"Manchester School District","900344700","2018-2019","Still Enrolled After Four Years Count","Number","43"
"Manchester School District","900344700","2018-2019","Still Enrolled After Four Years Rate","Percent","8.9"
"Manchester School District","900344700","2018-2019","Other Count","Number","43"
"Manchester School District","900344700","2018-2019","Other Rate","Percent","8.9"
"Mansfield School District","","2010-2011","Total Cohort Count","Number","-6666"
"Mansfield School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2010-2011","Other Count","Number","-6666"
"Mansfield School District","","2010-2011","Other Rate","Percent","-6666"
"Mansfield School District","","2011-2012","Total Cohort Count","Number","-6666"
"Mansfield School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2011-2012","Other Count","Number","-6666"
"Mansfield School District","","2011-2012","Other Rate","Percent","-6666"
"Mansfield School District","","2012-2013","Total Cohort Count","Number","-6666"
"Mansfield School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2012-2013","Other Count","Number","-6666"
"Mansfield School District","","2012-2013","Other Rate","Percent","-6666"
"Mansfield School District","","2013-2014","Total Cohort Count","Number","-6666"
"Mansfield School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2013-2014","Other Count","Number","-6666"
"Mansfield School District","","2013-2014","Other Rate","Percent","-6666"
"Mansfield School District","","2014-2015","Total Cohort Count","Number","-6666"
"Mansfield School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2014-2015","Other Count","Number","-6666"
"Mansfield School District","","2014-2015","Other Rate","Percent","-6666"
"Mansfield School District","","2015-2016","Total Cohort Count","Number","-6666"
"Mansfield School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2015-2016","Other Count","Number","-6666"
"Mansfield School District","","2015-2016","Other Rate","Percent","-6666"
"Mansfield School District","","2016-2017","Total Cohort Count","Number","-6666"
"Mansfield School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2016-2017","Other Count","Number","-6666"
"Mansfield School District","","2016-2017","Other Rate","Percent","-6666"
"Mansfield School District","","2017-2018","Total Cohort Count","Number","-6666"
"Mansfield School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2017-2018","Other Count","Number","-6666"
"Mansfield School District","","2017-2018","Other Rate","Percent","-6666"
"Mansfield School District","","2018-2019","Total Cohort Count","Number","-6666"
"Mansfield School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Mansfield School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Mansfield School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Mansfield School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Mansfield School District","","2018-2019","Other Count","Number","-6666"
"Mansfield School District","","2018-2019","Other Rate","Percent","-6666"
"Marlborough School District","","2010-2011","Total Cohort Count","Number","-6666"
"Marlborough School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Marlborough School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Marlborough School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
