Facility Code,District Name,School Name,CAPT School Classification,SPI OVERALL 2013,SPI OVERALL Status,Black SPI OVERALL 2013,Black SPI OVERALL Status,Hispanic SPI OVERALL 2013,Hispanic SPI OVERALL Status,ELL SPI OVERALL 2013,ELL SPI OVERALL Status,FRL SPI OVERALL 2013,FRL SPI OVERALL Status,SWD SPI OVERALL 2013,SWD SPI OVERALL Status,High Needs SPI OVERALL 2013,High Needs SPI OVERALL Status,SPI MATH 2013,SPI MATH Target Status,SPI READ 2013,SPI READ Status,SPI WRITE 2013,SPI WRITE Status,SPI SCIENCE 2013,SPI SCIENCE Status
0026111,Ansonia School District,Ansonia High School,REVIEW,58.3,No,52.3,Yes,61,Yes,,,55.9,Yes,,,53.4,Yes,52.8,No,56.3,No,69.9,Yes,63.8,Yes
0046111,Avon School District,Avon High School,PROGRESSING,92.1,Yes,,,,,,,,,63.8,No,72.7,Yes,92.9,Yes,89,Yes,95.1,Yes,92.7,Yes
0076111,Berlin School District,Berlin High School,TRANSITIONING,85.7,No,,,61.7,n/a,,,60.9,No,56.4,No,62.9,No,83.4,No,84.3,No,92.9,Yes,86.4,Yes
0096111,Bethel School District,Bethel High School,TRANSITIONING,82.8,No,,,68.3,No,,,73.6,Yes,47.9,No,66.6,Yes,79.2,No,81.3,No,91.4,Yes,80.3,No
0116111,Bloomfield School District,Bloomfield High School,TURNAROUND,66.2,Yes,65.8,Yes,,,,,66.6,Yes,,n/a,63.1,Yes,58.9,Yes,65.8,Yes,76.5,No,70.6,Yes
0116311,Bloomfield School District,Global Experience Magnet School,REVIEW,58.8,n/a,57.1,n/a,,,,,,,,,,,53.3,n/a,47.8,n/a,77.2,n/a,60.8,n/a
0116411,Bloomfield School District,Learning Academy at Bloomfield,TRANSITIONING,,,,,,,,,,,,,,,,,,,,,,
0126111,Bolton School District,Bolton High School,TRANSITIONING,83.2,No,,,,,,,,,,,,n/a,78.6,No,84.8,No,85.9,No,84.2,No
0146111,Branford School District,Branford High School,TRANSITIONING,84.9,Yes,,,,n/a,,,69.6,No,,n/a,68.6,No,79.3,Yes,83.5,Yes,92.2,Yes,87.1,Yes
0156111,Bridgeport School District,Bassick High School,TURNAROUND,31,No,28.8,No,31.8,Yes,22.3,Yes,30.9,No,12.7,No,30.9,No,24.3,No,30.7,No,46.3,Yes,29.3,No
0156211,Bridgeport School District,Central High School,REVIEW,47.4,No,42.6,No,48.6,No,24.9,No,46.9,No,14.7,No,46.7,No,42.1,No,46.3,No,61.7,No,45,No
0156311,Bridgeport School District,Harding High School,TURNAROUND,32.8,No,33.9,No,31.5,No,13.8,No,32.5,No,8.3,No,32.5,No,29.6,Yes,30.5,No,51,No,31.5,Yes
0176111,Bristol School District,Bristol Central High School,TRANSITIONING,74.2,No,70,No,63,No,,,64,No,49.4,Yes,63.5,No,73.6,No,70.9,No,78.6,No,76.2,No
0176211,Bristol School District,Bristol Eastern High School,TRANSITIONING,73.9,No,,n/a,54.6,No,,,61.9,No,31,No,57.4,No,73.5,No,70.6,No,78.3,No,75.6,No
0186111,Brookfield School District,Brookfield High School,PROGRESSING,90.8,Yes,,,,,,,,,67.1,No,75.6,No,88.8,Yes,89.2,Yes,95.2,Yes,90.5,Yes
0236111,Canton School District,Canton High School,EXCELLING,93,Yes,,,,,,,,,,,,n/a,93.2,Yes,88.8,Yes,95.8,Yes,94,Yes
0256111,Cheshire School District,Cheshire High School,PROGRESSING,89.5,Yes,,,,,,,72,Yes,58.5,No,63.3,No,88.8,Yes,85.9,No,94.1,Yes,91.5,Yes
0276111,Clinton School District,The Morgan School,TRANSITIONING,80.1,No,,,,,,,65.6,n/a,,,60,No,78.6,Yes,74.7,No,88.5,Yes,83.2,Yes
0286111,Colchester School District,Bacon Academy,PROGRESSING,82.4,Yes,,,,,,,75.1,Yes,50.1,Yes,61.8,Yes,81.5,Yes,80.7,Yes,86.5,Yes,82.8,Yes
0326111,Coventry School District,Coventry High School,TRANSITIONING,81.7,Yes,,,,,,,,n/a,,n/a,63,Yes,78.2,Yes,80.8,Yes,92.5,Yes,82.9,Yes
0336111,Cromwell School District,Cromwell High School,PROGRESSING,84.7,Yes,,,,,,,,n/a,,,66.3,No,84.9,Yes,79.6,No,91.6,Yes,83.4,Yes
0346111,Danbury School District,Danbury High School,REVIEW,63,Yes,54.2,Yes,46.5,Yes,14.8,No,47.3,Yes,33.4,Yes,44.9,Yes,60.3,Yes,60.3,No,72.8,Yes,64.1,Yes
0346211,Danbury School District,Alternative Center For Excellence,REVIEW,,n/a,,,,,,,,,,,,,,n/a,,n/a,,n/a,,n/a
0356111,Darien School District,Darien High School,PROGRESSING,93,Yes,,,,,,,,,68.6,No,68.6,No,93.7,Yes,92.9,Yes,95.5,Yes,90,Yes
0376111,Derby School District,Derby High School,REVIEW,61.3,No,,,49.2,n/a,,,55.7,Yes,,,54.8,Yes,48.1,No,66.8,Yes,79.6,Yes,56.7,No
0406111,East Granby School District,East Granby High School,EXCELLING,91.1,Yes,,,,,,,,,,,,,91,Yes,86.3,Yes,96.9,Yes,90,Yes
0416111,East Haddam School District,Nathan Hale-Ray High School,PROGRESSING,81.1,Yes,,,,,,,,,,,56.9,No,73.7,No,79.3,Yes,87.3,Yes,85.9,Yes
0426111,East Hampton School District,East Hampton High School,EXCELLING,90.7,Yes,,,,,,,,,,,,n/a,88.2,Yes,88.8,Yes,98.1,Yes,90.2,Yes
0436211,East Hartford School District,East Hartford High School,REVIEW,60,Yes,57.8,Yes,55.4,Yes,30.1,Yes,56.7,Yes,28,Yes,55.4,Yes,49.7,No,55.3,No,77.7,Yes,59.3,Yes
0436311,East Hartford School District,Connecticut IB Academy,PROGRESSING,88,Yes,,,,,,,,,,,,,87,Yes,89.6,Yes,96.1,Yes,79.2,No
0436411,East Hartford School District,Stevens Alternate High school,REVIEW,18.5,No,,,,,,,,n/a,,,,n/a,13.6,No,16,No,21.1,No,25.8,No
0446111,East Haven School District,East Haven High School,TRANSITIONING,70.5,No,,,64.7,No,,,64.8,No,33.6,No,62.1,No,61.8,No,69.9,Yes,83.8,No,69.3,No
0456111,East Lyme School District,East Lyme High School,PROGRESSING,90.2,Yes,,,,,,,71.4,No,59.2,No,69,Yes,89.1,Yes,88.2,Yes,94.1,Yes,89.9,Yes
0476111,East Windsor School District,East Windsor High School,TRANSITIONING,68.9,No,,,,,,,58.4,No,,,59.6,Yes,63.4,No,60.5,No,83.2,Yes,71.7,Yes
0486111,Ellington School District,Ellington High School,TRANSITIONING,84.7,Yes,,,,,,,,n/a,57.5,No,66,Yes,82.4,Yes,82.8,Yes,89.9,Yes,85.4,Yes
0496111,Enfield School District,Enfield High School,TRANSITIONING,72.9,No,,,,,,,64.3,Yes,,n/a,62.1,Yes,74.8,Yes,70.7,No,78.9,Yes,68.8,No
0496211,Enfield School District,Enrico Fermi High School,TRANSITIONING,82.1,Yes,,,,,,,71.9,Yes,61.9,Yes,69.1,Yes,80.4,Yes,81.5,Yes,85.4,Yes,82.1,Yes
1136111,Portland School District,Portland High School,TRANSITIONING,77.9,No,,,,,,,,,,,53,No,76.7,No,79.8,No,86.5,No,76,No
0516011,Fairfield School District,Fairfield Ludlowe High School,PROGRESSING,89.1,Yes,,,81.3,Yes,,,74.8,Yes,57.9,No,67.9,Yes,87,Yes,89.6,Yes,94.3,Yes,88.2,Yes
0516211,Fairfield School District,Fairfield Warde High School,TRANSITIONING,87,Yes,,,79,Yes,,,69.3,No,58.4,Yes,67.6,Yes,85.7,Yes,84.9,Yes,90.5,Yes,89.7,Yes
0526111,Farmington School District,Farmington High School,PROGRESSING,89.2,Yes,,n/a,76.6,No,,,64.8,No,57.6,No,65.1,No,87.7,No,89,Yes,93.6,Yes,88.1,Yes
0546111,Glastonbury School District,Glastonbury High School,PROGRESSING,89.3,Yes,,n/a,79,No,,,70.4,Yes,58,No,65.7,No,89.8,Yes,86.4,No,92.2,Yes,91.1,Yes
0566111,Granby School District,Granby Memorial High School,EXCELLING,90.8,Yes,,,,,,,,,,,,n/a,90.9,Yes,87.4,Yes,94.3,Yes,92,Yes
